,Country,Confirmed,Deaths,Recovered,GDP_2018,gini,Infant Mortality Rate,Population Density,Urban Population,Median Age
0,Afghanistan,1936390,49098,798240,1955.006208,32.0,46.5128248805674,60.0,0.25,18
1,Albania,196702,5708,118877,13364.1554,32.67,8.61427894660596,105.0,0.63,36
2,Algeria,1179755,77972,755897,15481.78762,27.62,19.9548665714491,18.0,0.73,29
3,Andorra,94404,5423,69074,,27.96,2.83160690998396,164.0,0.88,
4,Angola,22662,1078,6573,6452.355165,51.27,50.1801546190397,26.0,0.67,17
5,Antigua and Barbuda,4487,326,2600,26868.13352,,5.79041079729217,223.0,0.26,34
6,Argentina,4450658,97749,1680024,20610.56855,41.478095238095236,8.23805277641469,17.0,0.93,32
7,Armenia,1587173,27089,857482,10343.17559,32.47818181818182,10.5087235091144,104.0,0.63,35
8,Australia,960247,11387,711928,51663.36509,37.11236842105263,3.05181636516712,3.0,0.86,38
9,Austria,2034986,71390,1638380,55454.68929,32.84135714285714,2.84519544265707,109.0,0.57,43
10,Azerbaijan,1134717,14282,703402,18044.13678,,18.2375753831603,123.0,0.56,32
11,Bahamas,12100,1203,6047,,,10.8555097897201,39.0,0.86,32
12,Bahrain,1755206,5115,1334787,47303.04851,59.6,5.90177826928243,2239.0,0.89,32
13,Bangladesh,8754729,115633,3714702,4371.754986,42.765,25.5896605777175,1265.0,0.39,28
14,Barbados,10652,738,7444,18554.12928,40.666666666666664,11.7411077304785,668.0,0.31,40
15,Belarus,4426759,28391,2771925,19994.80408,26.403333333333332,2.42191846824932,47.0,0.79,40
16,Belgium,6281116,963679,1627492,51407.99834,31.02144444444444,2.73519948154153,383.0,0.98,42
17,Belize,2636,222,1618,8648.0888,,10.5892904273596,17.0,0.46,25
18,Benin,64406,1095,25911,2424.755845,45.599999999999994,59.001273580197,108.0,0.48,19
19,Bhutan,4971,0,2838,10167.93406,38.125,23.8496660994338,20.0,0.46,28
20,Bolivia,2170351,78032,571653,7873.166243,45.7919298245614,,11.0,0.69,26
21,Bosnia and Herzegovina,396634,16373,207156,14623.67405,33.03,5.05813987425285,64.0,0.52,43
22,Botswana,15306,120,2291,18615.79334,51.617999999999995,32.2555448405426,4.0,0.73,24
23,Brazil,89524967,3938034,54492873,16096.40096,51.30858585858586,12.4478381891936,25.0,0.88,33
24,Brunei,18168,226,15262,,,,83.0,0.8,32
25,Bulgaria,410722,17654,182621,21960.36994,39.414224137931036,5.62880433869209,64.0,0.76,45
26,Burkina Faso,96153,5583,74876,1984.884306,35.3,53.9372429075304,76.0,0.31,18
27,Burma,25188,639,15476,,,,,,
28,Burundi,11351,106,7361,744.182072,38.62,39.8503569945837,463.0,0.14,17
29,Cabo Verde,82732,854,38253,7454.063917,,12.7897753842176,138.0,0.68,28
30,Cambodia,17079,0,13917,4360.854404,31.96666666666667,22.8336007086824,95.0,0.24,26
31,Cameroon,844817,22354,588941,3785.079978,46.64,50.1732769530837,56.0,0.56,19
32,Canada,9356551,699566,0,48130.25597,36.44,4.24551803345304,4.0,0.81,41
33,Central African Republic,198659,2010,43318,859.9356196,,81.0032170217828,8.0,0.43,18
34,Chad,64226,5523,48059,1968.258262,43.32,69.0959985993046,13.0,0.23,17
35,Chile,16935654,322480,13292593,25222.52778,46.64,5.96643975221853,26.0,0.85,35
36,China,14132002,672413,11466866,18236.61298,41.3921875,6.75893348741614,153.0,0.61,38
37,Colombia,6893122,236525,2823811,15012.93027,51.02989898989899,11.8379662044805,46.0,0.8,31
38,Comoros,15823,337,11473,2913.387306,45.33,48.2800461184456,467.0,0.29,20
39,Congo (Brazzaville),101609,2696,29132,,,,,,
40,Congo (Kinshasa),427604,10888,135073,,,,,,
41,Costa Rica,347151,2037,116642,17671.09535,48.831875,7.5435707882582,100.0,0.8,33
42,Cote d'Ivoire,611062,4717,309368,4207.086934,49.894444444444446,,,,
43,Croatia,299218,10372,213360,27579.78083,34.086363636363636,4.05451865047831,73.0,0.58,44
44,Cuba,216346,8145,170780,,,3.80989744136565,106.0,0.78,42
